country_code,station_from_name,station_to_name,vehicle_class_code,price_rsd,price_eur,valid_from,valid_to
RS,Beograd,MALI POŽAREVAC,MOTORCYCLE,50,0.50,2025-01-01,
RS,Beograd,MALI POŽAREVAC,CAR,100,1.00,2025-01-01,
RS,Beograd,UMČARI,MOTORCYCLE,70,1.00,2025-01-01,
RS,Beograd,UMČARI,CAR,140,1.50,2025-01-01,
RS,Beograd,VODANJ,MOTORCYCLE,80,1.00,2025-01-01,
RS,Beograd,VODANJ,CAR,170,1.50,2025-01-01,
RS,Beograd,KOLARI,MOTORCYCLE,100,1.00,2025-01-01,
RS,Beograd,KOLARI,CAR,200,2.00,2025-01-01,
RS,Beograd,SMEDEREVO,MOTORCYCLE,120,1.50,2025-01-01,
RS,Beograd,SMEDEREVO,CAR,230,2.00,2025-01-01,
RS,Beograd,POŽAREVAC,MOTORCYCLE,120,1.50,2025-01-01,
RS,Beograd,POŽAREVAC,CAR,240,2.50,2025-01-01,
RS,Beograd,VELIKA PLANA,MOTORCYCLE,200,2.00,2025-01-01,
RS,Beograd,VELIKA PLANA,CAR,400,3.50,2025-01-01,
RS,Beograd,MARKOVAC,MOTORCYCLE,230,2.00,2025-01-01,
RS,Beograd,MARKOVAC,CAR,460,4.00,2025-01-01,
RS,Beograd,LAPOVO,MOTORCYCLE,250,2.50,2025-01-01,
RS,Beograd,LAPOVO,CAR,500,4.50,2025-01-01,
RS,Beograd,BATOČINA,MOTORCYCLE,260,2.50,2025-01-01,
RS,Beograd,BATOČINA,CAR,520,4.50,2025-01-01,
RS,Beograd,JAGODINA,MOTORCYCLE,320,3.00,2025-01-01,
RS,Beograd,JAGODINA,CAR,640,5.50,2025-01-01,
RS,Beograd,ĆUPRIJA,MOTORCYCLE,350,3.00,2025-01-01,
RS,Beograd,ĆUPRIJA,CAR,710,6.50,2025-01-01,
RS,Beograd,PARAĆIN,MOTORCYCLE,380,3.50,2025-01-01,
RS,Beograd,PARAĆIN,CAR,770,7.00,2025-01-01,
RS,Beograd,ĆIĆEVAC,MOTORCYCLE,430,4.00,2025-01-01,
RS,Beograd,ĆIĆEVAC,CAR,850,7.50,2025-01-01,
RS,Beograd,KRUŠEVAC istok,MOTORCYCLE,470,4.50,2025-01-01,
RS,Beograd,KRUŠEVAC istok,CAR,950,8.50,2025-01-01,
